,Course #,Section,Course Title,Instructor,Day(s),Start time,End Time,Max,Enrolled
CSE,5351,1,Parallel Processing,Ahmad,T,7:00 PM,9:50 PM,50,50
CSE,5325,2,Sfwr Eng II,Amaravadi,R,7:00 PM,8:20 PM,45,34
cse,6363,1,Machine Learning,Athitsos,MWF,1:00 PM,1:50pm,80,58
CSE,3320,1,Operating Systems,Bakker,MW,7:00 PM,8:20 PM,45,45
CSE,3315,1,Theoretical Concepts,Barasch,TR,11:00 AM,12:20 PM,45,43
CSE,3315,2,Theoretical Concepts,Barasch,TR,2:00 PM,3:20 PM,45,45
CSE,4191,1,Individual Projectis,Barasch,TBA,12:00 AM,12:00 AM,10,0
CSE,4391,1,Individual Projectis,Barasch,TBA,12:00 AM,12:00 AM,10,3
CSE,2315,1,Discrete Structures,Biswas,MW,4:00 PM,5:20 PM,45,44
CSE,2315,4,Discrete Structures,Biswas,MW,5:30 PM,6:50 PM,50,43
CSE,2315,5,Discrete Structures,Biswas,MW,7:00 PM,8:20 PM,45,17
CSE,2312,2,Computer Org & Assemb Lang,Brezeale,MWF,11:00 AM,11:50 AM,45,45
CSE,3313,1,Intro to Signal Processing,Brezeale,TR,3:30 PM,4:50 PM,50,45
CSE,3380,1,Linear Algebra,Brezeale,TR,11:00 AM,12:20 PM,55,55
CSE,3442,1,Embedded Systems I,Burns,TR,12:30 PM,1:50 PM,30,14
CSE ,3442,2,Embedded Systems I Lab,Burns,T,2:00 PM,04;50 pm,15,1
CSE ,3442,3,Embedded Systems I Lab,Burns,W,1:00 PM,3:50 PM,15,13
CSE,2441,1,Intro to Digital Logic,Carroll,TR,11:00 AM,12:20 PM,24,19
CSE,2441,2,Intro to Digital Logic Lab,Carroll,F,2:00 PM,4:50 PM,15,9
CSE,2441,3,Intro to Digital Logic Lab,Carroll,F,9:00 AM,11:50 AM,12,10
CSE,4323,1,Quantitative Computer Arch,Carroll,TR,2:00 PM,3:20 PM,30,30
CSE,6331,3,Adv Tops Database ,Chakravarthy,TR,9:30 AM,10:50 AM,30,19
CSE,6349,1,Spec Tops Adv Networks,Che,TR,12:30 PM,01;50 pm,40,40
CSE,1310,2,Intro Computers & Programming,Conly,TR ,2:00 PM,3:20 PM,45,45
CSE,4317,5,Comptuer System Dsgn II,Conly,TR,11:00 AM,12:20 PM,30,23
CSE,4317,6,Computer System Dsgn II,Conly,F,10:00 AM,11:50 AM,30,23
CSE ,4317,3,Computer System Dsgn II,Conly,TR,9:30 AM,10:50 AM,30,27
CSE ,4317,4,Computer system Dsgn II,Conly,F,1:00 PM,2:00 PM,30,27
CSE,4314,1,Professional Practices,Cross,TR,9:30 AM,10:50 AM,40,38
CSE,4314,2,Professional Practices,Cross,TR,11:00 AM,12:20 PM,40,18
CSE,4322,1,Software Project Management,Cross,TR,2:00 PM,3:20 PM,60,55
CSE,3311,1,Object-Oriented Sftw Eng,Csallner,TR,11:00 AM,12:20 PM,40,15
CSE,6324,2,Adv Tops Software Eng,Csallner,TR,2:00 PM,3:20 PM,30,9
CSE,5311,2,Algorithms  ,Das,TR,12:30 PM,1:50 PM,40,42
CSE,6311,1,Advanced Algorithms,Das,TR,3:30 PM,4:50 PM,30,30
CSE,5330,1,Database Systems,Dash,S,1:00 PM,3:50 PM,40,40
CSE,1320,1,intermediate Programming,Datta,MW,2:30 PM,3:50 PM,45,45
CSE,1320,2,intermediate Programming,Datta,TR,12:30 PM,1:50 PM,45,45
